Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_122002_414,-14,40,40,11.6,24.129199885999185,-78.43589782714844,-78.43589782714844,0.0902783870697021,0.1016936302185058,40,40.0,YOLO,1,41,13.1,24.129199885999185,0.0,[]
20250720_122002_607,-14,40,40,11.6,24.329116468671454,-78.20620727539062,-78.20620727539062,0.1009364128112793,0.1581652164459228,40,40.0,YOLO,1,41,13.1,24.329116468671454,0.0,[]
20250720_122002_868,-14,40,40,11.6,24.272651408983208,-78.24942131042481,-78.24942131042481,0.0989234447479248,0.1017699241638183,40,40.0,YOLO,1,41,13.1,24.272651408983208,0.0,[]
20250720_122003_070,-14,40,40,11.6,24.34960879765461,-78.22969207763671,-78.22969207763671,0.102419376373291,0.1580283641815185,40,40.0,YOLO,1,41,13.1,24.34960879765461,0.0,[]
20250720_122003_332,-14,40,40,11.6,24.4010395424543,-78.18648147583008,-78.18648147583008,0.0945069789886474,0.1017320156097412,40,40.0,YOLO,1,41,13.1,24.4010395424543,0.0,[]
20250720_122003_529,-14,40,40,11.6,24.445909616721764,-78.15200233459473,-78.15200233459473,0.0994212627410888,0.1580812931060791,40,40.0,YOLO,1,41,13.1,24.445909616721764,0.0,[]
20250720_122003_788,-14,40,40,11.6,24.38593867136231,-78.11094589233399,-78.11094589233399,0.1017513275146484,0.1016867160797119,40,40.0,YOLO,1,41,13.1,24.38593867136231,0.0,[]
20250720_122003_993,-14,40,40,11.6,24.5820481637646,-77.94432907104492,-77.94432907104492,0.0973303318023681,0.1580607891082763,40,40.0,YOLO,1,41,13.1,24.5820481637646,0.0,[]
20250720_122004_250,-14,40,40,11.6,24.604601679890308,-77.85428619384766,-77.85428619384766,0.0990293025970459,0.1016516685485839,40,40.0,YOLO,1,41,13.1,24.604601679890308,0.0,[]
20250720_122004_452,-14,40,40,11.6,24.61086988199565,-77.95178451538087,-77.95178451538087,0.0974032878875732,0.1582319736480713,40,40.0,YOLO,1,41,13.1,24.61086988199565,0.0,[]
20250720_122004_709,-13,40,40,11.6,24.63280275702995,-77.91505737304688,-77.91505737304688,0.0983095169067382,0.1017200946807861,40,40.0,YOLO,1,41,13.1,24.63280275702995,0.0,[]
20250720_122004_911,-13,40,40,11.6,23.152781012401505,-79.41891899108887,-79.41891899108887,0.1001708507537841,0.1581690311431884,40,40.0,YOLO,1,41,13.1,23.152781012401505,0.0,[]
20250720_122005_171,-13,39,39,10.2,23.138863377306507,-79.39169769287109,-79.39169769287109,0.1008758544921875,0.1017146110534668,39,39.0,YOLO,1,41,13.1,23.138863377306507,0.0,[]
20250720_122005_375,-13,39,39,10.2,24.72960486696429,-77.81923294067383,-77.81923294067383,0.0946722030639648,0.1581835746765136,39,39.0,YOLO,1,41,13.1,24.72960486696429,0.0,[]
20250720_122005_629,-13,39,39,10.2,24.692615581925423,-77.87543983459473,-77.87543983459473,0.0906019210815429,0.1016972064971923,39,39.0,YOLO,1,41,13.1,24.692615581925423,0.0,[]
20250720_122005_822,-13,39,39,10.2,24.59605393676911,-77.89223175048828,-77.89223175048828,0.0991642475128173,0.158078908920288,39,39.0,YOLO,1,41,13.1,24.59605393676911,0.0,[]
20250720_122006_081,-13,39,39,10.2,24.70331288407486,-77.8661117553711,-77.8661117553711,0.0900003910064697,0.1016886234283447,39,39.0,YOLO,1,41,13.1,24.70331288407486,0.0,[]
20250720_122006_274,-13,39,39,10.2,24.708415201931075,-77.89145698547364,-77.89145698547364,0.0972523689270019,0.1580183506011963,39,39.0,YOLO,1,41,13.1,24.708415201931075,0.0,[]
20250720_122006_531,-13,39,39,10.2,24.594818656855335,-77.7818229675293,-77.7818229675293,0.0888078212738037,0.1016695499420166,39,39.0,YOLO,1,41,13.1,24.594818656855335,0.0,[]
20250720_122006_723,-13,39,39,10.2,24.716903140854072,-77.83099098205567,-77.83099098205567,0.0997319221496582,0.1580781936645507,39,39.0,YOLO,1,41,13.1,24.716903140854072,0.0,[]
20250720_122006_982,-13,39,39,10.2,24.99687035456391,-77.70276756286621,-77.70276756286621,0.1019296646118164,0.1017837524414062,39,39.0,YOLO,1,41,13.1,24.99687035456391,0.0,[]
20250720_122007_187,-13,39,39,10.2,24.729959956909155,-77.91577949523926,-77.91577949523926,0.1003410816192627,0.1582751274108886,39,39.0,YOLO,1,41,13.1,24.729959956909155,0.0,[]
20250720_122007_447,-13,39,39,10.2,24.70458471281985,-77.79188499450683,-77.79188499450683,0.0963585376739502,0.1017541885375976,39,39.0,YOLO,1,41,13.1,24.70458471281985,0.0,[]
20250720_122007_647,-13,39,39,10.2,24.695898273510963,-77.8372615814209,-77.8372615814209,0.1000211238861084,0.1583046913146972,39,39.0,YOLO,1,41,13.1,24.695898273510963,0.0,[]
20250720_122007_907,-13,39,39,10.2,24.550883014798217,-77.98185234069824,-77.98185234069824,0.0979666709899902,0.1018385887145996,39,39.0,YOLO,1,41,13.1,24.550883014798217,0.0,[]
20250720_122008_108,-13,39,39,10.2,24.523711064102272,-78.07444343566894,-78.07444343566894,0.0973103046417236,0.1581108570098877,39,39.0,YOLO,1,41,13.1,24.523711064102272,0.0,[]
20250720_122008_365,-13,39,39,10.2,24.591041091956043,-78.01297378540039,-78.01297378540039,0.0945923328399658,0.1017143726348877,39,39.0,YOLO,1,41,13.1,24.591041091956043,0.0,[]
20250720_122008_563,-13,39,39,10.2,25.04964646161278,-77.62152366638183,-77.62152366638183,0.1008310317993164,0.1580884456634521,39,39.0,YOLO,1,41,13.1,25.04964646161278,0.0,[]
20250720_122008_823,-12,39,39,10.2,24.696744919948685,-77.81713371276855,-77.81713371276855,0.1013174057006836,0.1017596721649169,39,39.0,YOLO,1,41,13.1,24.696744919948685,0.0,[]
20250720_122009_027,-12,38,38,8.7,24.952139349448288,-77.65021934509278,-77.65021934509278,0.0925545692443847,0.1582529544830322,38,38.0,YOLO,1,41,13.1,24.952139349448288,0.0,[]
20250720_122009_280,-12,38,38,8.7,24.965250958551707,-77.61238098144531,-77.61238098144531,0.0972700119018554,0.10166597366333,38,38.0,YOLO,1,41,13.1,24.965250958551707,0.0,[]
20250720_122009_480,-12,38,38,8.7,25.12973756493793,-77.31000709533691,-77.31000709533691,0.1007149219512939,0.1580982208251953,38,38.0,YOLO,1,41,13.1,25.12973756493793,0.0,[]
20250720_122009_740,-12,38,38,8.7,25.177223537973333,-77.24471588134766,-77.24471588134766,0.1003034114837646,0.1017458438873291,38,38.0,YOLO,1,41,13.1,25.177223537973333,0.0,[]
20250720_122009_944,-12,38,38,8.7,24.9556516497036,-77.63601379394531,-77.63601379394531,0.0962157249450683,0.1582775115966797,38,38.0,YOLO,1,41,13.1,24.9556516497036,0.0,[]
20250720_122010_200,-12,38,38,8.7,25.06164227308344,-77.60779190063477,-77.60779190063477,0.0965263843536377,0.10174560546875,38,38.0,YOLO,1,41,13.1,25.06164227308344,0.0,[]
20250720_122010_399,-12,38,38,8.7,24.92728811361306,-77.52469825744629,-77.52469825744629,0.0944900512695312,0.1581296920776367,38,38.0,YOLO,1,41,13.1,24.92728811361306,0.0,[]
20250720_122010_653,-12,38,38,8.7,24.84639092131495,-77.67176055908203,-77.67176055908203,0.0981967449188232,0.1017458438873291,38,38.0,YOLO,1,41,13.1,24.84639092131495,0.0,[]
20250720_122010_855,-12,38,38,8.7,24.85374169706874,-77.73816146850587,-77.73816146850587,0.0968673229217529,0.1580688953399658,38,38.0,YOLO,1,41,13.1,24.85374169706874,0.0,[]
20250720_122011_111,-12,38,38,8.7,24.584357447938075,-77.93124084472656,-77.93124084472656,0.0911166667938232,0.1016781330108642,38,38.0,YOLO,1,41,13.1,24.584357447938075,0.0,[]
20250720_122011_305,-12,38,38,8.7,24.88796008531069,-77.66417694091797,-77.66417694091797,0.0963869094848632,0.1581060886383056,38,38.0,YOLO,1,41,13.1,24.88796008531069,0.0,[]
20250720_122011_561,-12,38,38,8.7,24.754690528554093,-77.68835678100587,-77.68835678100587,0.0908474922180175,0.1016459465026855,38,38.0,YOLO,1,41,13.1,24.754690528554093,0.0,[]
