Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250723_155521_074,4,33,33,1.5,8.762203501440922,-93.24172554016114,0.2302994728088379,0.1019685268402099
20250723_155521_407,5,33,33,1.5,6.462635201074548,-95.43484497070312,0.2308835983276367,0.1583383083343505
20250723_155521_798,6,33,33,1.5,6.83334950262568,-95.43484497070312,0.2306418418884277,0.1020269393920898
20250723_155522_132,6,32,32,0.0,9.069534972806636,-92.85452270507812,0.2597780227661133,0.1583127975463867
20250723_155522_551,7,31,31,-1.5,9.195229271405282,-92.91387939453124,0.2327291965484619,0.101907730102539
20250723_155522_887,8,31,31,-1.5,7.310498307763268,-94.6549072265625,0.2329981327056884,0.1582922935485839
20250723_155523_280,9,30,30,-2.9,7.092366345097929,-94.96305084228516,0.2320685386657714,0.1020309925079345
20250723_155523_615,9,30,30,-2.9,8.059106633376985,-93.99395751953124,0.232346773147583,0.1582715511322021
20250723_155524_007,10,29,29,-4.4,7.993204384272545,-94.0195770263672,0.2299604415893554,0.1019737720489502
20250723_155524_340,11,29,29,-4.4,8.963449851264585,-92.8506275177002,0.2301726341247558,0.1583356857299804
20250723_155524_730,11,28,28,-5.8,8.772820905096097,-93.28597869873047,0.2312707901000976,0.1019976139068603
20250723_155525_064,12,28,28,-5.8,8.76494188467862,-93.03507995605467,0.2321441173553466,0.1583447456359863
20250723_155525_456,13,28,28,-5.8,8.768500861307643,-93.17775344848631,0.2327122688293457,0.102001667022705
20250723_155525_792,14,27,27,-7.3,8.654921257064842,-93.17775344848631,0.2316782474517822,0.1583223342895507
20250723_155526_183,14,26,26,-8.7,8.293496906095058,-93.74451713562011,0.233168363571167,0.1020002365112304
20250723_155526_520,15,26,26,-8.7,10.046743260567922,-92.1320343017578,0.2309677600860595,0.1583545207977295
20250723_155526_911,16,25,25,-10.2,10.448252144012628,-91.3429946899414,0.2328715324401855,0.1019148826599121
20250723_155527_247,17,25,25,-10.2,7.606000255013612,-94.45152282714844,0.2303986549377441,0.1583409309387207
20250723_155527_637,17,NO_RADIO,25,-10.2,7.093758204199276,-94.93123626708984,0.1564724445343017,0.1019492149353027
20250723_155527_896,18,24,24,-11.6,9.802188039780589,-92.4067840576172,0.2362594604492187,0.158447265625
20250723_155528_292,19,24,24,-11.6,9.804395210148968,-92.3190460205078,0.2317667007446289,0.101966381072998
20250723_155528_627,19,23,23,-13.1,8.773702345449465,-93.28813934326172,0.2349472045898437,0.1583361625671386
20250723_155529_022,20,22,22,-14.5,8.774794220659587,-93.28813934326172,0.2310738563537597,0.1020064353942871
20250723_155529_356,21,22,22,-14.5,8.545098114021542,-93.62672424316406,0.2325069904327392,0.1584668159484863
20250723_155529_749,22,21,21,-16.0,8.54417096812719,-93.37588500976562,0.2317032814025879,0.1019020080566406
20250723_155530_084,22,21,21,-16.0,8.543218881486013,-93.44174880981446,0.2323911190032959,0.1583433151245117
20250723_155530_476,23,20,20,-17.4,8.657462824069782,-93.28597869873047,0.2329516410827636,0.1019325256347656
20250723_155530_812,24,20,20,-17.4,7.180003510340399,-94.96305084228516,0.2313785552978515,0.1583986282348632
20250723_155531_203,24,19,19,-18.9,7.178187446797153,-94.92041473388672,0.2330024242401123,0.1018874645233154
20250723_155531_539,25,19,19,-18.9,10.463940736014678,-91.58406295776368,0.2303688526153564,0.1583247184753418
20250723_155531_929,26,18,18,-20.3,10.366724246392693,-91.67446899414062,0.2313776016235351,0.1019785404205322
20250723_155532_264,27,18,18,-20.3,8.781459796635772,-93.28597869873047,0.2332875728607177,0.1583266258239746
20250723_155532_657,27,17,17,-21.8,8.766466076993268,-93.180908203125,0.2328548431396484,0.1019642353057861
20250723_155532_993,28,17,17,-21.8,7.889755373484945,-94.1500015258789,0.2313730716705322,0.1583003997802734
20250723_155533_384,29,17,17,-21.8,8.055053587790653,-93.74451713562011,0.2333192825317382,0.1020421981811523
20250723_155533_720,30,16,16,-23.2,9.586420597951488,-92.478271484375,0.2305741310119629,0.1583609580993652
20250723_155534_110,30,NO_RADIO,16,-23.2,9.461405839601923,-92.64356231689452,0.1573455333709716,0.1019871234893798
