Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_062359_125,-13,39,39,10.2,19.99024527649685,-82.52346115112304,-82.52346115112304,0.0897715091705322,0.1584424972534179,39,39.0,YOLO,1,32,0,19.99024527649685,0.0
20250721_062358_221,-13,40,40,11.6,20.54582412079056,-81.94828186035156,-81.94828186035156,0.0892395973205566,0.1022212505340576,40,40.0,YOLO,1,32,0,20.54582412079056,0.0
20250721_062401_194,-12,38,38,8.7,20.17156701316098,-82.17896461486816,-82.17896461486816,0.0927643775939941,0.1020340919494628,38,38.0,YOLO,1,32,0,20.17156701316098,0.0
20250721_062400_490,-12,38,38,8.7,20.45516795687665,-82.0007537841797,-82.0007537841797,0.0915093421936035,0.1580855846405029,38,38.0,YOLO,1,32,0,20.45516795687665,0.0
20250721_062400_938,-12,38,38,8.7,20.242267236455604,-82.21408615112304,-82.21408615112304,0.0954959392547607,0.1584806442260742,38,38.0,YOLO,1,32,0,20.242267236455604,0.0
20250721_062401_841,-12,38,38,8.7,20.48555891248634,-81.9783706665039,-81.9783706665039,0.0984706878662109,0.1581811904907226,38,38.0,YOLO,1,32,0,20.48555891248634,0.0
20250721_062404_145,-11,38,38,8.7,19.65976134525505,-82.80731811523438,-82.80731811523438,0.0916967391967773,0.1017186641693115,38,38.0,YOLO,1,32,0,19.65976134525505,0.0
20250721_062402_293,-11,39,39,10.2,17.590021708836204,-83.04092178344726,-83.04092178344726,0.0908207893371582,0.4197218418121338,39,38.0,NeighborSearch,2,32,0,19.38225187407113,-1.0
20250721_062403_891,-11,38,38,8.7,19.630193074867066,-82.77593688964843,-82.77593688964843,0.0949079990386962,0.1580653190612793,38,38.0,YOLO,1,32,0,19.630193074867066,0.0
20250721_062403_699,-11,38,38,8.7,19.28981690321551,-83.10009765625,-83.10009765625,0.0891823768615722,0.1016790866851806,38,38.0,YOLO,1,32,0,19.28981690321551,0.0
20250721_062405_757,-10,37,37,7.3,19.15827258737208,-83.31154289245606,-83.31154289245606,0.0906550884246826,0.1017115116119384,37,37.0,YOLO,1,32,0,19.15827258737208,0.0
20250721_062405_057,-10,37,37,7.3,19.53276520391445,-82.92784118652344,-82.92784118652344,0.0896236896514892,0.1580569744110107,37,37.0,YOLO,1,32,0,19.53276520391445,0.0
20250721_062404_340,-10,38,38,8.7,17.828676780366578,-82.8545150756836,-82.8545150756836,0.098013162612915,0.4196703433990478,38,37.0,NeighborSearch,2,32,0,19.47414775911804,-1.0
