Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250719_031732_153,1,30,30,-2.9,18.997413580304723,-83.83099365234375,0.0966730117797851,0.1014962196350097
20250719_031732_352,1,29,29,-4.4,20.36973527826828,-82.69980392456054,0.09938645362854,0.1577646732330322
20250719_031732_610,1,29,29,-4.4,20.333156156174724,-82.65846786499023,0.0996148586273193,0.1014666557312011
20250719_031732_812,1,29,29,-4.4,20.717712202109468,-82.33060569763184,0.0972340106964111,0.1578261852264404
20250719_031733_068,1,30,30,-2.9,20.640596901196275,-82.3741943359375,0.1023714542388916,0.1014087200164794
20250719_031733_273,1,30,30,-2.9,19.4994029744458,-83.34750862121582,0.1018683910369873,0.1578180789947509
20250719_031733_533,1,30,30,-2.9,19.5659995199828,-83.41986618041992,0.1010451316833496,0.1014981269836425
20250719_031733_737,1,29,29,-4.4,20.567467984561542,-82.5200138092041,0.0961978435516357,0.1577441692352295
20250719_031733_992,1,29,29,-4.4,20.44782996941106,-82.57484436035156,0.0985448360443115,0.1014585494995117
20250719_031734_192,1,29,29,-4.4,20.25153865980829,-82.75534629821777,0.0943849086761474,0.1577887535095214
20250719_031734_446,1,29,29,-4.4,20.361593421750143,-82.66928138732911,0.0932905673980712,0.1014385223388671
20250719_031734_641,1,29,29,-4.4,20.699212522001066,-82.35716934204102,0.0967593193054199,0.1578762531280517
20250719_031734_897,1,29,29,-4.4,20.404512637035552,-82.48899993896484,0.0982987880706787,0.1014912128448486
20250719_031735_097,1,30,30,-2.9,19.596871922655367,-83.32083129882812,0.0965743064880371,0.1579248905181884
20250719_031735_353,1,30,30,-2.9,19.764197820634223,-83.20000457763672,0.0996880531311035,0.1014294624328613
20250719_031735_555,1,30,30,-2.9,19.14296431636531,-83.79424285888672,0.0960743427276611,0.1577334403991699
20250719_031735_810,1,30,30,-2.9,19.3012660921264,-83.62672424316406,0.0954256057739257,0.1014385223388671
20250719_031736_007,2,30,30,-2.9,17.296932734616647,-85.65385437011719,0.0959746837615966,0.1577847003936767
20250719_031736_262,2,29,29,-4.4,17.06394991703995,-85.78614044189453,0.0961983203887939,0.1013784408569336
20250719_031736_460,2,28,28,-5.8,19.89681337932373,-83.06591796875,0.0929095745086669,0.1578266620635986
20250719_031736_712,2,28,28,-5.8,19.804301083863564,-83.11770133972168,0.098543643951416,0.1017460823059082
20250719_031736_913,2,28,28,-5.8,20.41913705230826,-82.60442352294922,0.0951986312866211,0.1579391956329345
20250719_031737_167,2,28,28,-5.8,20.374124435234847,-82.55379524230958,0.0976631641387939,0.1014368534088134
20250719_031737_367,2,28,28,-5.8,20.450345583092957,-82.62673950195312,0.1003644466400146,0.1581330299377441
20250719_031737_627,2,28,28,-5.8,20.26014699480139,-82.75735473632812,0.1011030673980712,0.1014776229858398
20250719_031737_830,2,28,28,-5.8,20.584722463314066,-82.37947311401368,0.0949745178222656,0.1578304767608642
20250719_031738_084,2,28,28,-5.8,20.449319194296933,-82.5305721282959,0.0979781150817871,0.1015126705169677
20250719_031738_284,2,29,29,-4.4,19.56003045815666,-83.46090698242188,0.0986609458923339,0.1578302383422851
20250719_031738_542,2,29,29,-4.4,19.58383030857441,-83.24492645263672,0.0994327068328857,0.1015751361846923
20250719_031738_744,2,29,29,-4.4,19.380650885558325,-83.64070587158203,0.0964734554290771,0.15789794921875
20250719_031738_999,2,29,29,-4.4,19.521186486693797,-83.48037910461426,0.0996623039245605,0.1014974117279052
20250719_031739_201,2,29,29,-4.4,19.500761219221918,-83.626021194458,0.094785451889038,0.1577978134155273
20250719_031739_455,2,29,29,-4.4,18.567201008298625,-84.26538848876953,0.1035883426666259,0.1014685630798339
20250719_031739_660,2,28,28,-5.8,20.15073882896715,-82.98143272399902,0.0990190505981445,0.1577980518341064
