Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075127_087,-17,42,42,14.5,19.98588872229529,0.0863909721374511,0.0021636486053466,42,42.0,YOLO,1,32,0,19.98588872229529,0.0
20250721_075126_703,-17,42,42,14.5,19.98588872229529,0.0853538513183593,0.0020387172698974,42,42.0,YOLO,1,32,0,19.98588872229529,0.0
20250721_075126_792,-17,42,42,14.5,19.98588872229529,0.0899798870086669,0.0019989013671875,42,42.0,YOLO,1,32,0,19.98588872229529,0.0
20250721_075127_177,-16,42,42,14.5,19.42798830172086,0.09035325050354,0.0020992755889892,42,42.0,YOLO,1,32,0,19.42798830172086,0.0
20250721_075127_552,-16,41,41,13.1,20.432803748092795,0.086367130279541,0.0021748542785644,41,41.0,YOLO,1,32,0,20.432803748092795,0.0
20250721_075127_365,-16,41,41,13.1,20.432803748092795,0.0969243049621582,0.0020411014556884,41,41.0,YOLO,1,32,0,20.432803748092795,0.0
20250721_075127_465,-16,41,41,13.1,20.432803748092795,0.0838298797607421,0.0020811557769775,41,41.0,YOLO,1,32,0,20.432803748092795,0.0
20250721_075127_271,-16,42,42,14.5,19.42798830172086,0.0899207592010498,0.0025830268859863,42,42.0,YOLO,1,32,0,19.42798830172086,0.0
20250721_075127_736,-15,41,41,13.1,20.66102041937131,0.1015286445617675,0.0020482540130615,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075128_037,-15,41,41,13.1,20.66102041937131,0.090280532836914,0.0047199726104736,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075127_840,-15,NO_RADIO,41,13.1,20.66102041937131,0.0930044651031494,0.0020596981048583,41,,CenterFallback,1,32,0,,
20250721_075127_642,-15,41,41,13.1,20.66102041937131,0.0900442600250244,0.0020554065704345,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075127_937,-15,40,40,11.6,20.950883423627506,0.0920987129211425,0.004490852355957,40,40.0,YOLO,1,32,0,20.950883423627506,0.0
20250721_075128_559,-14,39,39,10.2,20.76877690563053,0.0957221984863281,0.0043494701385498,39,39.0,YOLO,1,32,0,20.76877690563053,0.0
20250721_075128_349,-14,40,40,11.6,20.684931335855552,0.0962588787078857,0.0043272972106933,40,40.0,YOLO,1,32,0,20.684931335855552,0.0
20250721_075128_239,-14,41,41,13.1,20.137042811436928,0.1028714179992675,0.0043153762817382,41,41.0,YOLO,1,32,0,20.137042811436928,0.0
20250721_075128_453,-14,39,39,10.2,20.76877690563053,0.0993597507476806,0.0042822360992431,39,39.0,YOLO,1,32,0,20.76877690563053,0.0
20250721_075128_135,-14,41,41,13.1,20.137042811436928,0.0967223644256591,0.0041964054107666,41,41.0,YOLO,1,32,0,20.137042811436928,0.0
20250721_075128_662,-13,39,39,10.2,21.166090889014924,0.0906789302825927,0.0043702125549316,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075128_858,-13,39,39,10.2,21.166090889014924,0.0913202762603759,0.0021450519561767,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075129_044,-13,39,39,10.2,21.166090889014924,0.098895788192749,0.002265453338623,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075128_761,-13,39,39,10.2,21.166090889014924,0.0896754264831543,0.0043396949768066,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075128_953,-13,39,39,10.2,21.166090889014924,0.0875422954559326,0.0020723342895507,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075129_333,-12,38,38,8.7,20.63251142908078,0.1082353591918945,0.0021800994873046,38,38.0,YOLO,1,32,0,20.63251142908078,0.0
20250721_075129_146,-12,39,39,10.2,20.199031257559568,0.0859055519104003,0.0020654201507568,39,39.0,YOLO,1,32,0,20.199031257559568,0.0
20250721_075129_553,-12,38,38,8.7,20.63251142908078,0.0973448753356933,0.0043888092041015,38,38.0,YOLO,1,32,0,20.63251142908078,0.0
20250721_075129_445,-12,38,38,8.7,20.63251142908078,0.1008379459381103,0.0043144226074218,38,38.0,YOLO,1,32,0,20.63251142908078,0.0
20250721_075129_235,-12,39,39,10.2,20.199031257559568,0.0945844650268554,0.0020701885223388,39,39.0,YOLO,1,32,0,20.199031257559568,0.0
20250721_075129_658,-11,38,38,8.7,20.78398045702696,0.0891389846801757,0.0039703845977783,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
