Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_014836_648,3,35,35,4.4,9.83571337716701,-87.56873626708985,-87.56873626708985,0.1032452583312988,0.2609844207763672,35,35.0,OffsetFailed,2,32,0.0,13.984771300591971,-3.0,[],0.1028914451599121,0.0504710674285888,0.0504703521728515,0.0567295551300048,0.0006954669952392
20250724_014837_013,3,34,34,2.9,11.93212769809918,-88.33200225830078,-88.33200225830078,0.10015869140625,0.2609386444091797,34,34.0,OffsetFailed,2,31,-1.5,13.858339427589383,-3.0,[],0.0998497009277343,0.0505225658416748,0.0504653453826904,0.0567085742950439,0.000697374343872
20250724_014837_376,4,33,33,1.5,7.894706912574222,-92.85452270507812,-92.85452270507812,0.1044394969940185,0.2609522342681885,33,33.0,OffsetFailed,2,31,-1.5,9.326332802055871,-2.0,[],0.1041595935821533,0.0504705905914306,0.0504448413848876,0.0567250251770019,0.0006842613220214
20250724_014837_743,5,33,33,1.5,7.195166898057806,-87.46182250976562,-87.46182250976562,0.1063258647918701,0.2610914707183838,33,33.0,OffsetFailed,2,30,-2.9,14.55409924912854,-3.0,[],0.1059699058532714,0.0505003929138183,0.0504868030548095,0.0567536354064941,0.000676155090332
20250724_014838_112,6,33,33,1.5,6.825809880944078,-89.03116607666016,-89.03116607666016,0.1048259735107421,0.2612473964691162,33,33.0,OffsetFailed,2,30,-2.9,12.862314699599722,-3.0,[],0.1044461727142334,0.0506942272186279,0.0504801273345947,0.0567798614501953,0.0006577968597412
20250724_014838_480,6,32,32,0.0,12.954848210047828,-86.63702392578125,-86.63702392578125,0.1010963916778564,0.2608869075775146,32,32.0,OffsetFailed,2,29,-4.4,15.2589318262377,-3.0,[],0.1007776260375976,0.0504767894744873,0.0504391193389892,0.0567467212677001,0.000650405883789
20250724_014838_843,7,31,31,-1.5,7.797223469539887,-89.61458587646484,-89.61458587646484,0.1027753353118896,0.2608754634857178,31,31.0,OffsetFailed,2,29,-4.4,12.120889927948966,-2.0,[],0.1024818420410156,0.050459861755371,0.0504696369171142,0.056753396987915,0.0006918907165527
20250724_014839_209,8,31,31,-1.5,7.691010057889969,-88.74466705322266,-88.74466705322266,0.1022961139678955,0.2608706951141357,31,31.0,OffsetFailed,2,28,-5.8,13.271914763219511,-3.0,[],0.1019725799560546,0.0504825115203857,0.050485610961914,0.0567803382873535,0.0006515979766845
20250724_014839_574,9,30,30,-2.9,10.9775091485065,-89.59184188842774,-89.59184188842774,0.1066548824310302,0.261160135269165,30,30.0,OffsetFailed,2,28,-5.8,12.451849547711989,-2.0,[],0.1063349246978759,0.0505118370056152,0.0504572391510009,0.0567765235900878,0.0006520748138427
20250724_014839_943,9,30,30,-2.9,10.644706659164328,-89.13006591796875,-89.13006591796875,0.1028194427490234,0.2610905170440674,30,30.0,OffsetFailed,2,28,-5.8,12.951406064741178,-2.0,[],0.1025145053863525,0.0504374504089355,0.0506653785705566,0.0567855834960937,0.0006983280181884
20250724_014840_309,10,29,29,-4.4,13.017663437154468,-85.22549438476562,-85.22549438476562,0.101351261138916,0.2608458995819092,29,29.0,OffsetFailed,2,26,-8.7,16.53521944264294,-3.0,[],0.1010174751281738,0.0504279136657714,0.0504772663116455,0.0567197799682617,0.0006911754608154
20250724_014840_673,11,29,29,-4.4,12.94072629187866,-86.42938575744628,-86.42938575744628,0.1020121574401855,0.2610256671905517,29,29.0,OffsetFailed,2,26,-8.7,15.426575990832092,-3.0,[],0.1016910076141357,0.0504770278930664,0.0504593849182128,0.056797981262207,0.0006897449493408
20250724_014841_038,12,28,28,-5.8,12.710883387805753,-84.98834953308105,-84.98834953308105,0.1017735004425048,0.2608938217163086,28,28.0,OffsetFailed,2,25,-10.2,17.305316998093716,-3.0,[],0.1014528274536132,0.0504679679870605,0.0504646301269531,0.0567307472229003,0.0006661415100097
20250724_014841_402,12,28,28,-5.8,11.4310469222236,-88.09642791748047,-88.09642791748047,0.1029169559478759,0.2609622478485107,28,28.0,OffsetFailed,2,25,-10.2,13.642701468950436,-3.0,[],0.1026084423065185,0.0504484176635742,0.0505104064941406,0.0567302703857421,0.0006618499755859
20250724_014841_767,13,28,28,-5.8,9.773568409579568,-89.93356323242188,-89.93356323242188,0.1017622947692871,0.2610249519348144,28,28.0,OffsetFailed,2,25,-10.2,12.045517062370893,-3.0,[],0.1014461517333984,0.0504956245422363,0.050492525100708,0.0567598342895507,0.0006787776947021
20250724_014842_132,14,27,27,-7.3,12.097438435906184,-87.09198760986328,-87.09198760986328,0.0997705459594726,0.2612929344177246,27,27.0,OffsetFailed,2,24,-11.6,14.971184418652726,-3.0,[],0.0994429588317871,0.0504763126373291,0.0506436824798584,0.056751012802124,0.0006709098815917
20250724_014842_494,14,NO_RADIO,27,-7.3,11.255754178643317,-90.73242454528808,-90.73242454528808,0.0996057987213134,0.15848970413208,27,,CenterFallback,1,32,0.0,,,[],0.0992424488067627,0.050504446029663,0.0504546165466308,0.0567903518676757,0.0006890296936035
