Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250714_075548_860,-90,44,44,17.4,20,17.4,7.8972030019766635,0.10566043853759766,0.16547179222106934
20250714_075549_132,-90,NO_RADIO,44,17.4,20,17.4,7.425802242636109,0.06438994407653809,0.10642075538635254
20250714_075549_304,-90,NO_RADIO,44,17.4,20,17.4,7.4312266613586075,0.06876397132873535,0.1677234172821045
20250714_075549_541,-90,NO_RADIO,44,17.4,20,17.4,7.322063036542502,0.07235240936279297,0.10661721229553223
20250714_075549_721,-90,NO_RADIO,44,17.4,20,17.4,7.315245295841109,0.09771847724914551,0.16289591789245605
20250714_075549_983,-90,35,35,4.4,29,4.4,7.740900462208032,0.10007309913635254,0.10712885856628418
20250714_075550_191,-90,NO_RADIO,35,4.4,29,4.4,6.854240524683206,0.06498503684997559,0.16304636001586914
20250714_075550_421,-90,31,31,-1.5,33,-1.5,7.127367371072182,0.0988149642944336,0.10660409927368164
20250714_075550_627,-90,29,29,-4.4,35,-4.4,7.1165659665300325,0.09450793266296387,0.16286468505859375
20250714_075550_885,-90,26,26,-8.7,38,-8.7,7.114854052021485,0.09566044807434082,0.11585664749145508
20250714_075551_098,-90,24,24,-11.6,40,-11.6,7.80709541687817,0.09620070457458496,0.16302990913391113
20250714_075551_358,-90,22,22,-14.5,42,-14.5,7.788710793782798,0.09562516212463379,0.10642623901367188
20250714_075551_561,-90,20,20,-17.4,44,-17.4,7.083493611903421,0.09531569480895996,0.1624584197998047
20250714_075551_820,-90,17,17,-21.8,47,-21.8,7.078882419866304,0.0944371223449707,0.10673952102661133
20250714_075552_022,-90,15,15,-24.7,49,-24.7,6.931520532149364,0.0958261489868164,0.16261768341064453
20250714_075552_282,-90,NO_RADIO,15,-24.7,49,-24.7,7.657060954302622,0.06421136856079102,0.10802865028381348
20250714_075552_455,-90,NO_RADIO,15,-24.7,49,-24.7,8.490019706628644,0.06776213645935059,0.16280722618103027
20250714_075552_686,-90,NO_RADIO,15,-24.7,49,-24.7,8.02326746804755,0.07387757301330566,0.10734939575195312
20250714_075552_869,-90,NO_RADIO,15,-24.7,49,-24.7,10.075802173523172,0.07517218589782715,0.16269683837890625
20250714_075553_108,-90,NO_RADIO,15,-24.7,49,-24.7,13.42140545266787,0.07363700866699219,0.10984063148498535
20250714_075553_292,-90,NO_RADIO,15,-24.7,49,-24.7,22.906129571036047,0.07326507568359375,0.1826183795928955
20250714_075553_549,-90,NO_RADIO,15,-24.7,49,-24.7,23.90279616833473,0.07084798812866211,0.11165475845336914
20250714_075553_733,-90,NO_RADIO,15,-24.7,49,-24.7,19.335943552239172,0.07564711570739746,0.1643846035003662
20250714_075553_974,-90,50,50,26.1,14,26.1,18.974468032993087,0.11174345016479492,0.10947084426879883
20250714_075554_196,-90,NO_RADIO,50,26.1,14,26.1,17.348785486546646,0.06654882431030273,0.16284394264221191
20250714_075554_426,-90,NO_RADIO,50,26.1,14,26.1,16.063141582563162,0.0715482234954834,0.1073915958404541
20250714_075554_606,-90,NO_RADIO,50,26.1,14,26.1,10.491480235147861,0.07380056381225586,0.16302895545959473
20250714_075554_844,-90,NO_RADIO,50,26.1,14,26.1,8.1475851151354,0.10829424858093262,0.11029934883117676
20250714_075555_064,-90,NO_RADIO,50,26.1,14,26.1,8.241854087074572,0.07698917388916016,0.16275525093078613
20250714_075555_304,-90,NO_RADIO,50,26.1,14,26.1,7.162910919076936,0.07401561737060547,0.10711312294006348
20250714_075555_487,-90,NO_RADIO,50,26.1,14,26.1,10.089261171690012,0.07403898239135742,0.16291332244873047
20250714_075555_725,-90,NO_RADIO,50,26.1,14,26.1,9.732468679717144,0.07518768310546875,0.10646605491638184
20250714_075555_907,-90,NO_RADIO,50,26.1,14,26.1,7.950727033699295,0.07412219047546387,0.16276836395263672
20250714_075556_145,-90,NO_RADIO,50,26.1,14,26.1,8.103853954715476,0.07403779029846191,0.10928893089294434
20250714_075556_330,-90,NO_RADIO,50,26.1,14,26.1,15.843338228429019,0.07537269592285156,0.17023897171020508
20250714_075556_576,-90,NO_RADIO,50,26.1,14,26.1,18.895142025499553,0.07577657699584961,0.10833168029785156
20250714_075556_761,-90,NO_RADIO,50,26.1,14,26.1,18.888144212263484,0.07416772842407227,0.16440987586975098
20250714_075557_001,-90,19,19,-18.9,45,-18.9,19.273864775294825,0.10844802856445312,0.1067514419555664
20250714_075557_217,-90,NO_RADIO,19,-18.9,45,-18.9,16.56373298623737,0.06609392166137695,0.17271041870117188
20250714_075557_457,-90,15,15,-24.7,49,-24.7,16.77784491876298,0.10366678237915039,0.10512328147888184
20250714_075557_667,-90,NO_RADIO,15,-24.7,49,-24.7,9.88422195757137,0.06719279289245605,0.27259016036987305
20250714_075558_008,-90,NO_RADIO,15,-24.7,49,-24.7,8.028430700902561,0.0697026252746582,0.13532781600952148
20250714_075558_214,-90,51,51,27.6,13,27.6,7.370368224853763,0.10683894157409668,0.16344523429870605
20250714_075558_485,-90,48,48,23.2,16,23.2,6.802566516531925,0.10050821304321289,0.3932228088378906
20250714_075558_980,-90,NO_RADIO,48,23.2,16,23.2,6.207204215676086,0.06873703002929688,0.3914191722869873
20250714_075559_441,-90,NO_RADIO,48,23.2,16,23.2,6.657499832226151,0.07561421394348145,0.1262049674987793
20250714_075559_644,-90,NO_RADIO,48,23.2,16,23.2,6.556220818620147,0.07674312591552734,0.204545259475708
20250714_075559_926,-90,NO_RADIO,48,23.2,16,23.2,6.620609967110724,0.11315369606018066,0.21626901626586914
20250714_075600_256,-90,NO_RADIO,48,23.2,16,23.2,6.572359885374567,0.07941508293151855,0.18056011199951172
20250714_075600_518,-90,NO_RADIO,48,23.2,16,23.2,7.079767445013275,0.0766303539276123,0.43074536323547363
20250714_075601_026,-90,NO_RADIO,48,23.2,16,23.2,6.839656560912374,0.07622313499450684,0.16303586959838867
20250714_075601_266,-90,NO_RADIO,48,23.2,16,23.2,6.636874909310109,0.07652807235717773,0.10658049583435059
20250714_075601_450,-90,16,16,-23.2,48,-23.2,6.694088555011177,0.11190390586853027,0.16391682624816895
20250714_075601_727,-90,14,14,-26.1,50,-26.1,6.857489489749966,0.0964670181274414,0.12038350105285645
20250714_075601_945,-90,NO_RADIO,14,-26.1,50,-26.1,6.857971143014154,0.06557059288024902,0.16293072700500488
20250714_075602_175,-90,NO_RADIO,14,-26.1,50,-26.1,6.860146539140686,0.0702660083770752,0.10660243034362793
20250714_075602_353,-90,NO_RADIO,14,-26.1,50,-26.1,6.657804989308971,0.07214593887329102,0.17012691497802734
20250714_075602_596,-90,NO_RADIO,14,-26.1,50,-26.1,6.714028437050388,0.07381701469421387,0.1065375804901123
20250714_075602_777,-90,51,51,27.6,13,27.6,6.874365985881283,0.10712933540344238,0.16326308250427246
20250714_075603_049,-90,48,48,23.2,16,23.2,6.7263355713965325,0.09912800788879395,0.10701274871826172
20250714_075603_256,-90,NO_RADIO,48,23.2,16,23.2,6.678913099142562,0.06413006782531738,0.16318392753601074
20250714_075603_484,-90,NO_RADIO,48,23.2,16,23.2,6.292985986982529,0.07066941261291504,0.15067648887634277
20250714_075603_706,-90,NO_RADIO,48,23.2,16,23.2,6.738372100001783,0.07301735877990723,0.1639249324798584
20250714_075603_944,-90,39,39,10.2,25,10.2,6.641791572371076,0.10834002494812012,0.10719418525695801
20250714_075604_161,-90,NO_RADIO,39,10.2,25,10.2,6.691235940685658,0.06476855278015137,0.16357016563415527
20250714_075604_390,-90,34,34,2.9,30,2.9,6.75040931104391,0.10175228118896484,0.10714411735534668
20250714_075604_600,-90,32,32,0,32,0,6.756127811966536,0.09526681900024414,0.16295170783996582
20250714_075604_859,-90,NO_RADIO,32,0,32,0,6.9169800954501,0.06426024436950684,0.10688090324401855
20250714_075605_031,-90,27,27,-7.3,37,-7.3,6.321137349971806,0.1365647315979004,0.16278457641601562
20250714_075605_332,-90,NO_RADIO,27,-7.3,37,-7.3,6.770913194949671,0.06529116630554199,0.11049818992614746
20250714_075605_509,-90,38,38,8.7,26,8.7,6.715283780078977,0.1047523021697998,0.16135263442993164
20250714_075605_776,-90,21,21,-16.0,43,-16.0,6.924957392035395,0.09425020217895508,0.10695528984069824
20250714_075605_978,-90,20,20,-17.4,44,-17.4,6.324367912486025,0.09600329399108887,0.16308331489562988
20250714_075606_238,-90,NO_RADIO,20,-17.4,44,-17.4,6.930970243194494,0.06508111953735352,0.10696768760681152
20250714_075606_411,-90,17,17,-21.8,47,-21.8,6.671417579708518,0.10198664665222168,0.19354987144470215
20250714_075606_708,-90,NO_RADIO,17,-21.8,47,-21.8,6.678334705491977,0.06468915939331055,0.11144208908081055
20250714_075606_885,-90,NO_RADIO,17,-21.8,47,-21.8,7.221768697943375,0.06904864311218262,0.1635429859161377
20250714_075607_119,-90,NO_RADIO,17,-21.8,47,-21.8,6.679271736976489,0.07421398162841797,0.11068558692932129
