Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250713_194024_980,-90,16,16,-23.2,48,-23.2,15.743165454795388,0.10155081748962402,0.12274503707885742
20250713_194025_205,-90,17,17,-21.8,47,-21.8,10.771894877153201,0.10254549980163574,0.19470548629760742
20250713_194025_504,-90,17,17,-21.8,47,-21.8,10.937721825583964,0.10395240783691406,0.16259980201721191
20250713_194025_771,-90,18,18,-20.3,46,-20.3,8.712440333573653,0.10179948806762695,0.19592022895812988
20250713_194026_070,-90,18,18,-20.3,46,-20.3,9.36174071889559,0.10350513458251953,0.12329721450805664
20250713_194026_298,-90,18,18,-20.3,46,-20.3,11.255413444731516,0.1016390323638916,0.18535113334655762
20250713_194026_586,-90,19,19,-18.9,45,-18.9,11.381350232069963,0.10282182693481445,0.10953259468078613
20250713_194026_799,-90,19,19,-18.9,45,-18.9,9.318448754531744,0.10274457931518555,0.18660569190979004
20250713_194027_090,-90,19,19,-18.9,45,-18.9,9.307381454294557,0.13211941719055176,0.10689997673034668
20250713_194027_330,-90,19,19,-18.9,45,-18.9,7.934288204351972,0.10354852676391602,0.20772361755371094
20250713_194027_642,-90,18,18,-20.3,46,-20.3,7.843968310260564,0.10508036613464355,0.1707000732421875
20250713_194027_919,-90,19,19,-18.9,45,-18.9,8.532091880893702,0.1028740406036377,0.16295194625854492
20250713_194028_186,-90,19,19,-18.9,45,-18.9,8.17857768483779,0.10189366340637207,0.10705351829528809
20250713_194028_396,-90,19,19,-18.9,45,-18.9,10.578202521617953,0.10286760330200195,0.1840059757232666
20250713_194028_684,-90,19,19,-18.9,45,-18.9,10.565552283051787,0.10500574111938477,0.2678232192993164
20250713_194029_057,-90,20,20,-17.4,44,-17.4,10.481335210373956,0.10092425346374512,0.18239569664001465
20250713_194029_342,-90,21,21,-16.0,43,-16.0,10.875448292873344,0.10647368431091309,0.10840129852294922
20250713_194029_558,-90,21,21,-16.0,43,-16.0,12.646831409580159,0.1038367748260498,0.20308852195739746
20250713_194029_866,-90,21,21,-16.0,43,-16.0,12.433659336223215,0.10333442687988281,0.11748528480529785
20250713_194030_087,-90,21,21,-16.0,43,-16.0,12.608291644247515,0.10452747344970703,0.1647350788116455
20250713_194030_358,-90,22,22,-14.5,42,-14.5,12.714179021743917,0.10205793380737305,0.11407899856567383
20250713_194030_575,-90,22,22,-14.5,42,-14.5,7.605251067416319,0.1016242504119873,0.2241823673248291
20250713_194030_902,-90,23,23,-13.1,41,-13.1,7.970935755883033,0.10254883766174316,0.10805034637451172
20250713_194031_113,-90,24,24,-11.6,40,-11.6,16.924769908262704,0.10354781150817871,0.19788360595703125
20250713_194031_416,-90,24,24,-11.6,40,-11.6,17.13910576477184,0.10980224609375,0.10875511169433594
20250713_194031_635,-90,24,24,-11.6,40,-11.6,17.767586342037305,0.10161852836608887,0.1660909652709961
20250713_194031_904,-90,25,25,-10.2,39,-10.2,17.74335975237811,0.1016080379486084,0.10870695114135742
20250713_194032_115,-90,25,25,-10.2,39,-10.2,17.42306180891201,0.13190269470214844,0.16560769081115723
20250713_194032_414,-90,25,25,-10.2,39,-10.2,17.866013318852552,0.10390996932983398,0.14515995979309082
20250713_194032_665,-90,25,25,-10.2,39,-10.2,20.39137660725474,0.10078287124633789,0.2448434829711914
20250713_194033_011,-90,25,25,-10.2,39,-10.2,20.622687756385176,0.10216569900512695,0.17909026145935059
20250713_194033_294,-90,25,25,-10.2,39,-10.2,22.98660751853636,0.0988619327545166,0.2407238483428955
20250713_194033_634,-90,26,26,-8.7,38,-8.7,23.05677464044787,0.10129857063293457,0.3354339599609375
20250713_194034_072,-90,26,26,-8.7,38,-8.7,19.180279576405454,0.10186457633972168,0.16525530815124512
20250713_194034_340,-90,27,27,-7.3,37,-7.3,19.47670376817166,0.10044503211975098,0.14401602745056152
20250713_194034_586,-90,27,27,-7.3,37,-7.3,14.163090946210872,0.10188841819763184,0.20370769500732422
20250713_194034_892,-90,27,27,-7.3,37,-7.3,14.245789188704151,0.10064196586608887,0.11180448532104492
20250713_194035_106,-90,28,28,-5.8,36,-5.8,16.845674259551075,0.10215425491333008,0.16718411445617676
20250713_194035_376,-90,28,28,-5.8,36,-5.8,16.904090082117975,0.1006479263305664,0.11987686157226562
20250713_194035_598,-90,28,28,-5.8,36,-5.8,17.53407684369283,0.09913182258605957,0.1705622673034668
20250713_194035_868,-90,28,28,-5.8,36,-5.8,17.78740455637488,0.10117268562316895,0.10731029510498047
20250713_194036_078,-90,28,28,-5.8,36,-5.8,18.60750490678781,0.1015481948852539,0.18603968620300293
20250713_194036_366,-90,28,28,-5.8,36,-5.8,18.05867352144429,0.10058903694152832,0.13557863235473633
20250713_194036_604,-90,29,29,-4.4,35,-4.4,16.157072884634715,0.09951138496398926,0.16387295722961426
20250713_194036_868,-90,29,29,-4.4,35,-4.4,16.09332611459547,0.10173654556274414,0.10908198356628418
20250713_194037_080,-90,29,29,-4.4,35,-4.4,12.14315714138489,0.1301746368408203,0.1790175437927246
20250713_194037_390,-90,30,30,-2.9,34,-2.9,11.337883418566207,0.10081624984741211,0.10797715187072754
20250713_194037_600,-90,30,30,-2.9,34,-2.9,24.939004509328186,0.10030174255371094,0.16479730606079102
20250713_194037_866,-90,30,30,-2.9,34,-2.9,25.48007951560075,0.10010147094726562,0.10701346397399902
20250713_194038_074,-90,31,31,-1.5,33,-1.5,29.26941980082796,0.10111474990844727,0.16792702674865723
