Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_042347_253,1,29,29,-4.4,19.21037656472293,-83.3736572265625,-83.3736572265625,0.0905156135559082,0.158071756362915,29,29.0,YOLO,1,32,0,19.21037656472293,0.0
20250721_042347_503,1,29,29,-4.4,19.180588053572293,-83.32083129882812,-83.32083129882812,0.0933811664581298,0.1022493839263916,29,29.0,YOLO,1,32,0,19.180588053572293,0.0
20250721_042347_700,1,29,29,-4.4,19.54808831593992,-82.98143997192383,-82.98143997192383,0.0985019207000732,0.1581950187683105,29,29.0,YOLO,1,32,0,19.54808831593992,0.0
20250721_042347_958,1,29,29,-4.4,19.616926607360853,-82.92144584655762,-82.92144584655762,0.0920090675354003,0.1017704010009765,29,29.0,YOLO,1,32,0,19.616926607360853,0.0
20250721_042348_153,2,29,29,-4.4,18.821904249430677,-83.68581352233886,-83.68581352233886,0.0945000648498535,0.1580996513366699,29,29.0,YOLO,1,32,0,18.821904249430677,0.0
20250721_042348_407,2,29,29,-4.4,19.085112584493583,-83.44287109375,-83.44287109375,0.0895388126373291,0.1018154621124267,29,29.0,YOLO,1,32,0,19.085112584493583,0.0
20250721_042348_600,2,28,28,-5.8,19.65137628513949,-82.88014221191406,-82.88014221191406,0.0908539295196533,0.1581413745880127,28,28.0,YOLO,1,32,0,19.65137628513949,0.0
20250721_042348_851,2,28,28,-5.8,19.651983270578118,-82.99998321533204,-82.99998321533204,0.0918805599212646,0.1016962528228759,28,28.0,YOLO,1,32,0,19.651983270578118,0.0
20250721_042349_046,2,28,28,-5.8,19.14774065564308,-83.29432907104493,-83.29432907104493,0.0925319194793701,0.1580755710601806,28,28.0,YOLO,1,32,0,19.14774065564308,0.0
20250721_042349_298,2,28,28,-5.8,19.42470341546327,-83.04872779846191,-83.04872779846191,0.0837867259979248,0.101712942123413,28,28.0,YOLO,1,32,0,19.42470341546327,0.0
20250721_042349_485,2,28,28,-5.8,19.31828967869349,-83.31208801269531,-83.31208801269531,0.090264081954956,0.1581621170043945,28,28.0,YOLO,1,32,0,19.31828967869349,0.0
20250721_042349_735,2,28,28,-5.8,19.34189503297169,-83.2337631225586,-83.2337631225586,0.0930573940277099,0.1017148494720459,28,28.0,YOLO,1,32,0,19.34189503297169,0.0
20250721_042349_931,2,28,28,-5.8,19.476695768976725,-82.99805526733398,-82.99805526733398,0.0949726104736328,0.158160924911499,28,28.0,YOLO,1,32,0,19.476695768976725,0.0
20250721_042350_186,2,28,28,-5.8,19.453012955493666,-82.96719665527344,-82.96719665527344,0.0880966186523437,0.1016693115234375,28,28.0,YOLO,1,32,0,19.453012955493666,0.0
20250721_042350_377,3,28,28,-5.8,18.934621757505,-83.6782054901123,-83.6782054901123,0.0867540836334228,0.1580455303192138,28,28.0,YOLO,1,32,0,18.934621757505,0.0
20250721_042350_623,3,28,28,-5.8,19.034589551902457,-83.57305908203125,-83.57305908203125,0.0890200138092041,0.1016583442687988,28,28.0,YOLO,1,32,0,19.034589551902457,0.0
20250721_042350_815,3,28,28,-5.8,18.551623366847807,-84.07231979370117,-84.07231979370117,0.0953023433685302,0.1581804752349853,28,28.0,YOLO,1,32,0,18.551623366847807,0.0
20250721_042351_070,3,28,28,-5.8,18.642323908761995,-83.90995330810547,-83.90995330810547,0.0878760814666748,0.1017146110534668,28,28.0,YOLO,1,32,0,18.642323908761995,0.0
20250721_042351_261,3,28,28,-5.8,18.84517879137581,-83.70249938964844,-83.70249938964844,0.0925931930541992,0.1582007408142089,28,28.0,YOLO,1,32,0,18.84517879137581,0.0
20250721_042351_513,3,28,28,-5.8,18.94418061127004,-83.68580627441406,-83.68580627441406,0.0920987129211425,0.1016888618469238,28,28.0,YOLO,1,32,0,18.94418061127004,0.0
20250721_042351_708,3,28,28,-5.8,18.925018208727263,-83.54532623291016,-83.54532623291016,0.0922205448150634,0.1580047607421875,28,28.0,YOLO,1,32,0,18.925018208727263,0.0
20250721_042351_960,3,28,28,-5.8,18.84156588936344,-83.6289493560791,-83.6289493560791,0.0893006324768066,0.1016161441802978,28,28.0,YOLO,1,32,0,18.84156588936344,0.0
20250721_042352_152,4,28,28,-5.8,18.814682087049533,-83.71985702514648,-83.71985702514648,0.094973087310791,0.1584434509277343,28,28.0,YOLO,1,32,0,18.814682087049533,0.0
20250721_042352_408,4,28,28,-5.8,17.83125821667683,-84.63562393188477,-84.63562393188477,0.087925910949707,0.1018743515014648,28,28.0,YOLO,1,32,0,17.83125821667683,0.0
20250721_042352_599,4,27,27,-7.3,18.93182744531524,-83.54383354187011,-83.54383354187011,0.0909657478332519,0.1580884456634521,27,27.0,YOLO,1,32,0,18.93182744531524,0.0
20250721_042352_850,4,27,27,-7.3,19.057417960590055,-83.55223846435547,-83.55223846435547,0.093109130859375,0.1017837524414062,27,27.0,YOLO,1,32,0,19.057417960590055,0.0
20250721_042353_046,4,27,27,-7.3,18.65306993888868,-83.75428581237793,-83.75428581237793,0.0962514877319336,0.1580612659454345,27,27.0,YOLO,1,32,0,18.65306993888868,0.0
20250721_042353_302,4,27,27,-7.3,18.68772569604212,-83.91772537231445,-83.91772537231445,0.088804006576538,0.1017889976501464,27,27.0,YOLO,1,32,0,18.68772569604212,0.0
