Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Tx Beam Index,Tx Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250724_192008_922,-90,18,18,-20.3,33.01058325278957,-66.1245346069336,-66.1245346069336,0.09836316108703613,0.1637105941772461,18,18,46,-20.3,YOLO,1,33.01058325278957,0,[]
20250724_192009_185,-90,16,16,-23.2,31.341257072494784,-67.69187469482422,-67.69187469482422,0.09932851791381836,0.10726118087768555,16,16,48,-23.2,YOLO,1,31.341257072494784,0,[]
20250724_192009_393,-90,14,14,-26.1,34.230862380777296,-64.69295501708984,-64.69295501708984,0.0984649658203125,0.1635301113128662,14,14,50,-26.1,YOLO,1,34.230862380777296,0,[]
20250724_192009_656,-90,NO_RADIO,14,-26.1,31.90335920327692,-66.89669914245606,-66.89669914245606,0.06708502769470215,0.10699820518493652,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192009_831,-90,NO_RADIO,14,-26.1,21.20387524134007,-77.64761428833008,-77.64761428833008,0.07209181785583496,0.1680290699005127,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192010_072,-90,NO_RADIO,14,-26.1,19.639238311542798,-79.40908012390136,-79.40908012390136,0.07428979873657227,0.10845136642456055,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192010_256,-90,50,50,26.1,2.1241585192995274,-96.12810516357422,-96.12810516357422,0.10654664039611816,0.26932859420776367,50,50,14,26.1,OffsetFailed,2,2.7636000629005366,5,[]
20250724_192010_633,-90,47,47,21.8,2.803050011809205,-94.71330299377442,-94.71330299377442,0.1031348705291748,0.27284836769104004,47,47,17,21.8,OffsetFailed,2,3.7148557304415277,7,[]
20250724_192011_010,-90,43,43,16.0,2.2749422278007216,-95.32418823242188,-95.32418823242188,0.09947466850280762,0.269439697265625,43,43,21,16.0,OffsetFailed,2,3.1588753832455723,8,[]
20250724_192011_380,-90,39,39,10.2,2.3452442253341133,-96.29843139648438,-96.29843139648438,0.09887456893920898,0.27292633056640625,39,39,25,10.2,OffsetFailed,2,2.7724708223051096,8,[]
20250724_192011_753,-90,36,36,5.8,2.858630705835921,-96.29627075195313,-96.29627075195313,0.10080957412719727,0.3355271816253662,36,36,28,5.8,OffsetFailed,2,2.447414962511459,9,[]
20250724_192012_191,-90,32,32,0,3.081209112380421,-96.04537200927734,-96.04537200927734,0.0988924503326416,0.27356529235839844,32,32,32,0,OffsetFailed,2,2.957506160005721,9,[]
20250724_192012_564,-90,NO_RADIO,32,0,2.880798339833916,-96.29843139648438,-96.29843139648438,0.0663764476776123,0.16223478317260742,32,,32,0,CenterFallback,1,,,[]
20250724_192012_794,-90,26,26,-8.7,2.9117873759946065,-96.04537200927734,-96.04537200927734,0.10184884071350098,0.28246116638183594,26,26,38,-8.7,OffsetFailed,2,2.9963724996025007,9,[]
20250724_192013_180,-90,NO_RADIO,26,-8.7,3.080123223960726,-96.12810516357422,-96.12810516357422,0.06778097152709961,0.11308789253234863,26,,38,-8.7,CenterFallback,1,,,[]
20250724_192013_362,-90,21,21,-16.0,2.6061270429441237,-96.29843139648438,-96.29843139648438,0.1022329330444336,0.27464890480041504,21,21,43,-16.0,OffsetFailed,2,2.6368044314657766,9,[]
20250724_192013_740,-90,18,18,-20.3,2.3594092076678805,-96.80453491210938,-96.80453491210938,0.12958383560180664,0.3037409782409668,18,18,46,-20.3,OffsetFailed,2,2.3899130464388065,8,[]
20250724_192014_174,-90,14,14,-26.1,2.7869617847750447,-96.38617706298828,-96.38617706298828,0.1009056568145752,0.28531837463378906,14,14,50,-26.1,OffsetFailed,2,2.815263431678929,8,[]
20250724_192014_562,-90,NO_RADIO,14,-26.1,2.785194022931009,-96.25521850585938,-96.25521850585938,0.06659865379333496,0.17692923545837402,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192014_806,-90,NO_RADIO,14,-26.1,2.813591881834455,-96.43071746826172,-96.43071746826172,0.06907892227172852,0.14339613914489746,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192015_020,-90,NO_RADIO,14,-26.1,3.2963661871008156,-96.12810516357422,-96.12810516357422,0.06948518753051758,0.16322970390319824,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192015_254,-90,NO_RADIO,14,-26.1,2.8662863679343786,-96.43071746826172,-96.43071746826172,0.0733177661895752,0.1053774356842041,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192015_434,-90,NO_RADIO,14,-26.1,2.892911913596862,-96.38617706298828,-96.38617706298828,0.07581567764282227,0.16194939613342285,14,,50,-26.1,CenterFallback,1,,,[]
20250724_192015_672,-90,51,51,27.6,3.370608419847514,-96.29843139648438,-96.29843139648438,0.10724949836730957,0.2948932647705078,51,51,13,27.6,OffsetFailed,2,3.0049347999143237,3,[]
20250724_192016_076,-90,48,48,23.2,2.9715676672752664,-96.80453491210938,-96.80453491210938,0.09910845756530762,2.352545738220215,48,48,16,23.2,OffsetFailed,2,2.689874862642924,6,[]
20250724_192018_529,-90,30,30,-2.9,2.716329330526719,-96.43071746826172,-96.43071746826172,0.09518790245056152,0.296100378036499,30,30,34,-2.9,OffsetFailed,2,3.0496225748451877,9,[]
20250724_192018_921,-90,NO_RADIO,30,-2.9,3.0742401279077143,-96.43071746826172,-96.43071746826172,0.06563711166381836,0.18436050415039062,30,,34,-2.9,CenterFallback,1,,,[]
20250724_192019_172,-90,NO_RADIO,30,-2.9,3.757650911235004,-95.76765441894531,-95.76765441894531,0.062314510345458984,0.16493463516235352,30,,34,-2.9,CenterFallback,1,,,[]
20250724_192019_401,-90,NO_RADIO,30,-2.9,2.8118465204496914,-96.75601196289062,-96.75601196289062,0.06950092315673828,0.1127007007598877,30,,34,-2.9,CenterFallback,1,,,[]
20250724_192019_584,-90,NO_RADIO,30,-2.9,3.1439147363276305,-96.75601196289062,-96.75601196289062,0.0739905834197998,0.16509604454040527,30,,34,-2.9,CenterFallback,1,,,[]
20250724_192019_824,-90,20,20,-17.4,3.5645642272444604,-96.25521850585938,-96.25521850585938,0.1078641414642334,0.331740140914917,20,20,44,-17.4,OffsetFailed,2,3.5869512937688057,9,[]
20250724_192020_265,-90,NO_RADIO,20,-17.4,3.27083843943754,-96.29627075195313,-96.29627075195313,0.06379365921020508,0.35473132133483887,20,,44,-17.4,CenterFallback,1,,,[]
20250724_192020_685,-90,NO_RADIO,20,-17.4,3.234245259437884,-96.42849044799804,-96.42849044799804,0.06989598274230957,0.196549654006958,20,,44,-17.4,CenterFallback,1,,,[]
