Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250713_202451_762,-90,49,49,24.7,23.671644073134686,-79.69927978515625,-79.69927978515625,0.10072731971740723,0.12328886985778809,49,49,49,-24.7,YOLO,1,23.671644073134686,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
20250713_202451_987,-90,50,50,26.1,25.060418253982775,-78.37715187072754,-78.37715187072754,0.10372567176818848,0.17252445220947266,50,50,50,-26.1,YOLO,1,25.060418253982775,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
20250713_202452_264,-90,50,50,26.1,24.184270256712722,-79.12844619750977,-79.12844619750977,0.09859824180603027,0.10714125633239746,50,50,50,-26.1,YOLO,1,24.184270256712722,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
20250713_202452_471,-90,51,51,27.6,24.043535698262048,-79.25165710449218,-79.25165710449218,0.09859251976013184,0.2335195541381836,51,51,51,-27.6,YOLO,1,24.043535698262048,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202452_804,-90,51,51,27.6,23.677110990793537,-79.66322021484375,-79.66322021484375,0.09936857223510742,0.16009831428527832,51,51,51,-27.6,YOLO,1,23.677110990793537,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202453_065,-90,NO_RADIO,51,27.6,22.46148946104779,-80.68145751953125,-80.68145751953125,0.06624078750610352,0.16292572021484375,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202453_295,-90,NO_RADIO,51,27.6,22.534515457191603,-80.70463523864746,-80.70463523864746,0.07389640808105469,0.10647130012512207,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202453_477,-90,NO_RADIO,51,27.6,22.04499163941199,-81.28914642333984,-81.28914642333984,0.07900691032409668,0.18631958961486816,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202453_743,-90,NO_RADIO,51,27.6,22.01704847532241,-81.41659622192383,-81.41659622192383,0.0801093578338623,0.10657310485839844,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202453_931,-90,NO_RADIO,51,27.6,20.739644339132994,-82.52318840026855,-82.52318840026855,0.08048391342163086,0.16404032707214355,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202454_177,-90,NO_RADIO,51,27.6,20.45758089818257,-82.77950820922851,-82.77950820922851,0.0813913345336914,0.14421749114990234,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202454_403,-90,NO_RADIO,51,27.6,18.457672165657343,-84.56628303527832,-84.56628303527832,0.08439993858337402,0.18674421310424805,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202454_676,-90,NO_RADIO,51,27.6,18.155086256759986,-85.20940399169922,-85.20940399169922,0.08426737785339355,0.14104127883911133,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202454_902,-90,NO_RADIO,51,27.6,15.168195684918956,-88.09252090454102,-88.09252090454102,0.08263754844665527,0.20903468132019043,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202455_195,-90,NO_RADIO,51,27.6,14.624841615022007,-88.61946105957031,-88.61946105957031,0.08218121528625488,0.4105527400970459,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202455_689,-90,NO_RADIO,51,27.6,11.035144903957104,-91.95116729736328,-91.95116729736328,0.08406496047973633,0.1631155014038086,51,,,,CenterFallback,1,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
