Boresight Angle,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-21,27.58970004336019,44,29.168637040925844,0.0
-20,27.58970004336019,44,29.51473263884177,0.0
-20,27.58970004336019,44,27.93299884911194,0.0
-20,27.58970004336019,43,28.05188767443625,0.0
-20,27.58970004336019,43,29.470012883859184,0.0
-19,27.58970004336019,43,29.835221094987645,0.0
-19,27.58970004336019,43,28.44469592343944,0.0
-19,27.58970004336019,43,28.49659212101799,0.0
-18,27.58970004336019,43,27.18394846686271,-1.0
-18,27.58970004336019,42,29.278585639691755,0.0
-18,27.58970004336019,42,29.64137774568076,0.0
-17,27.58970004336019,42,27.88081349913396,0.0
-17,27.58970004336019,41,27.640829816958743,0.0
-17,27.58970004336019,41,29.96089317971382,0.0
-16,27.58970004336019,41,29.54831183835729,0.0
-16,27.58970004336019,41,27.64848537433587,0.0
-16,27.58970004336019,40,27.605127768550915,0.0
-15,27.58970004336019,41,28.57697691425981,0.0
-15,27.58970004336019,41,28.19947619900082,0.0
-15,27.58970004336019,40,29.960086105042045,0.0
-15,27.58970004336019,40,30.05980568898873,0.0
-14,27.58970004336019,40,27.999308536665595,0.0
-14,27.58970004336019,39,28.362385602347587,0.0
-14,27.58970004336019,39,29.79658922661964,0.0
-14,27.58970004336019,39,29.937365209926504,0.0
-13,27.58970004336019,39,28.343839228170943,0.0
-13,27.58970004336019,38,28.91672703170104,0.0
-13,27.58970004336019,38,30.415891518306083,0.0
-12,27.58970004336019,38,30.386799018069603,0.0
-12,27.58970004336019,38,29.465990838320245,0.0
-12,27.58970004336019,38,29.246987162422748,0.0
-11,27.58970004336019,38,29.472701891851223,0.0
-11,27.58970004336019,38,29.53269152168708,0.0
-11,27.58970004336019,37,29.96577846728055,0.0
-11,27.58970004336019,37,29.47067768313967,0.0
-10,27.58970004336019,37,28.158677227080005,0.0
-10,27.58970004336019,37,27.95248753777978,0.0
-10,27.58970004336019,36,30.00073050009552,0.0
-10,27.58970004336019,36,30.09294592311844,0.0
-9,27.58970004336019,36,29.08372080720566,0.0
-9,27.58970004336019,36,29.149592555759504,0.0
-9,27.58970004336019,36,29.275899772336786,0.0
-8,27.58970004336019,36,29.12280034150596,0.0
-8,27.58970004336019,35,28.91984001067332,0.0
-8,27.58970004336019,35,29.017469423483,0.0
-7,27.58970004336019,35,29.15656660003218,0.0
-7,27.58970004336019,35,28.15648144183786,0.0
-7,27.58970004336019,34,29.554687198231328,0.0
-7,27.58970004336019,34,29.620504996067268,0.0
-6,27.58970004336019,34,28.018828135603165,0.0
-6,27.58970004336019,34,27.86358457484288,0.0
-6,27.58970004336019,33,30.00317000321536,0.0
-5,27.58970004336019,33,29.738848730532723,0.0
-5,27.58970004336019,33,28.89477437102536,0.0
-5,27.58970004336019,33,28.85413408076052,0.0
-5,27.58970004336019,33,28.826225301839514,0.0
-4,27.58970004336019,33,28.727388708855383,0.0
-4,27.58970004336019,32,29.844045063024357,0.0
-4,27.58970004336019,32,29.783948390638077,0.0
-3,27.58970004336019,32,29.10697207888586,0.0
-3,27.58970004336019,32,28.76363290152104,0.0
-3,27.58970004336019,32,28.314423362623145,0.0
-3,27.58970004336019,32,28.615756944352967,0.0
-2,27.58970004336019,32,26.16024835935744,-1.0
-2,27.58970004336019,31,29.058527091013826,0.0
-1,27.58970004336019,31,28.979578315511247,0.0
-1,27.58970004336019,30,29.62898488029641,0.0
-1,27.58970004336019,30,30.11086429269359,0.0
-1,27.58970004336019,30,30.39509904497564,0.0
0,27.58970004336019,30,30.360588862249323,0.0
0,27.58970004336019,30,28.6268487008122,0.0
0,27.58970004336019,29,28.365280195372986,0.0
1,27.58970004336019,29,29.36445535757785,0.0
1,27.58970004336019,29,29.112774680688787,0.0
1,27.58970004336019,29,29.08921718354965,0.0
1,27.58970004336019,29,29.29897353822848,0.0
2,27.58970004336019,29,27.19796853130989,-1.0
2,27.58970004336019,28,29.858461172105574,0.0
3,27.58970004336019,28,29.68973008330631,0.0
3,27.58970004336019,27,29.954459027056977,0.0
3,27.58970004336019,27,30.019680672234067,0.0
4,27.58970004336019,27,29.92215332291165,0.0
4,27.58970004336019,27,29.04102157286209,0.0
