Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075303_403,5,27,27,-7.3,20.418760090819944,0.0920355319976806,0.004223346710205,27,27.0,YOLO,1,32,0,20.418760090819944,0.0
20250721_075303_502,6,27,27,-7.3,19.69794720604873,0.0996780395507812,0.0042335987091064,27,27.0,YOLO,1,32,0,19.69794720604873,0.0
20250721_075303_609,6,27,27,-7.3,19.69794720604873,0.0893974304199218,0.0042102336883544,27,27.0,YOLO,1,32,0,19.69794720604873,0.0
20250721_075303_706,6,26,26,-8.7,20.31358893936134,0.0863537788391113,0.0043697357177734,26,26.0,YOLO,1,32,0,20.31358893936134,0.0
20250721_075303_800,7,26,26,-8.7,19.88555987135001,0.0883190631866455,0.0043444633483886,26,26.0,YOLO,1,32,0,19.88555987135001,0.0
20250721_075303_896,7,25,25,-10.2,20.488052313921315,0.100085973739624,0.0044238567352294,25,25.0,YOLO,1,32,0,20.488052313921315,0.0
20250721_075304_003,8,25,25,-10.2,19.900117664197523,0.091545820236206,0.0045137405395507,25,25.0,YOLO,1,32,0,19.900117664197523,0.0
20250721_075304_102,8,25,25,-10.2,19.900117664197523,0.0943455696105957,0.0043215751647949,25,25.0,YOLO,1,32,0,19.900117664197523,0.0
20250721_075304_204,8,24,24,-11.6,20.658205545480342,0.0900769233703613,0.0043501853942871,24,24.0,YOLO,1,32,0,20.658205545480342,0.0
20250721_075304_301,9,24,24,-11.6,19.97815232910176,0.0926225185394287,0.0040502548217773,24,24.0,YOLO,1,32,0,19.97815232910176,0.0
20250721_075304_401,9,24,24,-11.6,19.97815232910176,0.0955092906951904,0.0043632984161376,24,24.0,YOLO,1,32,0,19.97815232910176,0.0
20250721_075304_504,10,24,24,-11.6,19.746905733684983,0.0924761295318603,0.0040414333343505,24,24.0,YOLO,1,32,0,19.746905733684983,0.0
20250721_075304_604,10,24,24,-11.6,19.746905733684983,0.0978929996490478,0.00435471534729,24,24.0,YOLO,1,32,0,19.746905733684983,0.0
20250721_075304_709,10,23,23,-13.1,20.17191501366064,0.0856349468231201,0.0043056011199951,23,23.0,YOLO,1,32,0,20.17191501366064,0.0
20250721_075304_802,11,23,23,-13.1,20.04937434575648,0.0849382877349853,0.0042433738708496,23,23.0,YOLO,1,32,0,20.04937434575648,0.0
20250721_075304_894,11,23,23,-13.1,20.04937434575648,0.0893425941467285,0.004227876663208,23,23.0,YOLO,1,32,0,20.04937434575648,0.0
20250721_075304_991,12,22,22,-14.5,20.54672779947917,0.1026172637939453,0.0041007995605468,22,22.0,YOLO,1,32,0,20.54672779947917,0.0
20250721_075305_101,12,22,22,-14.5,20.54672779947917,0.0869367122650146,0.0042674541473388,22,22.0,YOLO,1,32,0,20.54672779947917,0.0
20250721_075305_195,12,22,22,-14.5,20.54672779947917,0.085489273071289,0.0043263435363769,22,22.0,YOLO,1,32,0,20.54672779947917,0.0
20250721_075305_288,13,22,22,-14.5,20.138298824928967,0.0893809795379638,0.0042219161987304,22,22.0,YOLO,1,32,0,20.138298824928967,0.0
20250721_075305_385,13,22,22,-14.5,20.138298824928967,0.098276138305664,0.0044515132904052,22,22.0,YOLO,1,32,0,20.138298824928967,0.0
20250721_075305_491,14,21,21,-16.0,19.74184275750005,0.0859363079071044,0.0041155815124511,21,21.0,YOLO,1,32,0,19.74184275750005,0.0
20250721_075305_584,14,21,21,-16.0,19.74184275750005,0.0867092609405517,0.0043644905090332,21,21.0,YOLO,1,32,0,19.74184275750005,0.0
20250721_075305_678,14,20,20,-17.4,20.33636196950816,0.0883052349090576,0.0040283203125,20,20.0,YOLO,1,32,0,20.33636196950816,0.0
20250721_075305_773,15,20,20,-17.4,19.48835718459651,0.0995121002197265,0.0044276714324951,20,20.0,YOLO,1,32,0,19.48835718459651,0.0
20250721_075305_880,15,20,20,-17.4,19.48835718459651,0.0907979011535644,0.0036635398864746,20,20.0,YOLO,1,32,0,19.48835718459651,0.0
20250721_075305_978,16,19,19,-18.9,20.255504304140658,0.086472749710083,0.0040059089660644,19,19.0,YOLO,1,32,0,20.255504304140658,0.0
20250721_075306_071,16,19,19,-18.9,20.255504304140658,0.0966956615447998,0.0039360523223876,19,19.0,YOLO,1,32,0,20.255504304140658,0.0
20250721_075306_175,16,19,19,-18.9,20.255504304140658,0.0919194221496582,0.0043082237243652,19,19.0,YOLO,1,32,0,20.255504304140658,0.0
20250721_075306_274,17,19,19,-18.9,19.699427813235985,0.0996689796447753,0.0040578842163085,19,19.0,YOLO,1,32,0,19.699427813235985,0.0
20250721_075306_381,17,19,19,-18.9,19.699427813235985,0.0985326766967773,0.0043578147888183,19,19.0,YOLO,1,32,0,19.699427813235985,0.0
20250721_075306_487,18,18,18,-20.3,20.07010447613888,0.1055853366851806,0.0040171146392822,18,18.0,YOLO,1,32,0,20.07010447613888,0.0
20250721_075306_600,18,18,18,-20.3,20.07010447613888,0.0828254222869873,0.0039987564086914,18,18.0,YOLO,1,32,0,20.07010447613888,0.0
20250721_075306_690,18,17,17,-21.8,21.174135495481693,0.0896880626678466,0.0043320655822753,17,17.0,YOLO,1,32,0,21.174135495481693,0.0
