Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_050213_483,-36,NO_RADIO,32,0,7.431828196643949,-94.96305084228516,-94.96305084228516,0.09157824516296387,0.15829229354858398,32,,CenterFallback,1,32,0,,
20250721_050213_734,-35,NO_RADIO,32,0,7.479978226697824,-94.96305084228516,-94.96305084228516,0.09062957763671875,0.10176467895507812,32,,CenterFallback,1,32,0,,
20250721_050213_928,-35,NO_RADIO,32,0,8.100453385164712,-94.56656646728516,-94.56656646728516,0.09235930442810059,0.15823721885681152,32,,CenterFallback,1,32,0,,
20250721_050214_180,-34,NO_RADIO,32,0,7.649877054813146,-94.68475341796875,-94.68475341796875,0.08656144142150879,0.1016693115234375,32,,CenterFallback,1,32,0,,
20250721_050214_370,-34,NO_RADIO,32,0,8.285763139310717,-94.45152282714844,-94.45152282714844,0.09202003479003906,0.15825581550598145,32,,CenterFallback,1,32,0,,
20250721_050214_622,-34,NO_RADIO,32,0,7.945878069598436,-94.59435501098633,-94.59435501098633,0.09410524368286133,0.10170221328735352,32,,CenterFallback,1,32,0,,
20250721_050214_819,-33,NO_RADIO,32,0,8.262003498588001,-94.45152282714844,-94.45152282714844,0.09285187721252441,0.15830492973327637,32,,CenterFallback,1,32,0,,
20250721_050215_071,-33,NO_RADIO,32,0,8.040334724875152,-94.59435501098633,-94.59435501098633,0.08807039260864258,0.10184407234191895,32,,CenterFallback,1,32,0,,
20250721_050215_263,-32,NO_RADIO,32,0,7.9060672703731285,-94.59435501098633,-94.59435501098633,0.09922242164611816,0.1581888198852539,32,,CenterFallback,1,32,0,,
20250721_050215_521,-32,NO_RADIO,32,0,7.728842044483372,-94.68475341796875,-94.68475341796875,0.09056401252746582,0.10177493095397949,32,,CenterFallback,1,32,0,,
20250721_050215_715,-31,NO_RADIO,32,0,7.589124156140173,-94.68475341796875,-94.68475341796875,0.09633588790893555,0.15813159942626953,32,,CenterFallback,1,32,0,,
20250721_050215_971,-31,NO_RADIO,32,0,7.87678437503493,-94.68475341796875,-94.68475341796875,0.08994197845458984,0.10177946090698242,32,,CenterFallback,1,32,0,,
20250721_050216_164,-30,NO_RADIO,32,0,7.3824459456819085,-95.15899658203125,-95.15899658203125,0.09105348587036133,0.15805697441101074,32,,CenterFallback,1,32,0,,
20250721_050216_415,-30,51,51,27.6,6.883754040697454,-83.04092178344726,-83.04092178344726,0.08904910087585449,0.26886820793151855,51,51,NeighborSearch,1,32,0,19.72827980081108,0
20250721_050216_774,-29,51,51,27.6,19.902341842003068,-82.9917652130127,-82.9917652130127,0.09299135208129883,0.10187602043151855,51,51,YOLO,1,32,0,19.902341842003068,0
20250721_050216_970,-29,50,50,26.1,20.118176753573707,-82.8545150756836,-82.8545150756836,0.08800983428955078,0.1580655574798584,50,50,YOLO,1,32,0,20.118176753573707,0
20250721_050217_218,-28,50,50,26.1,20.10498412785107,-82.80731811523438,-82.80731811523438,0.09053802490234375,0.10168671607971191,50,50,YOLO,1,32,0,20.10498412785107,0
20250721_050217_412,-28,50,50,26.1,19.145167848367635,-83.79424285888672,-83.79424285888672,0.09235143661499023,0.15815210342407227,50,50,YOLO,1,32,0,19.145167848367635,0
