Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250713_195154_570,-90,40,40,11.6,24.50485538844154,-78.56164016723633,-78.56164016723633,0.10281825065612793,0.13572478294372559,40,40,40,-11.6,YOLO,1,24.50485538844154,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195154_809,-90,40,40,11.6,24.063304017029864,-78.9725788116455,-78.9725788116455,0.09993624687194824,0.16354084014892578,40,40,40,-11.6,YOLO,1,24.063304017029864,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195155_074,-90,41,41,13.1,24.01969900014616,-79.06326599121094,-79.06326599121094,0.10098719596862793,0.10709691047668457,41,41,41,-13.1,YOLO,1,24.01969900014616,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195155_284,-90,41,41,13.1,26.14045042984729,-77.05944786071777,-77.05944786071777,0.09952831268310547,0.19137930870056152,41,41,41,-13.1,YOLO,1,26.14045042984729,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195155_576,-90,42,42,14.5,25.620438098861598,-77.50998001098633,-77.50998001098633,0.12999391555786133,0.18996429443359375,42,42,42,-14.5,YOLO,1,25.620438098861598,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195155_897,-90,42,42,14.5,26.277254477798422,-76.8557903289795,-76.8557903289795,0.10032129287719727,0.1674492359161377,42,42,42,-14.5,YOLO,1,26.277254477798422,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195156_166,-90,42,42,14.5,25.961676538963175,-77.17228813171387,-77.17228813171387,0.10225057601928711,0.1341724395751953,42,42,42,-14.5,YOLO,1,25.961676538963175,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195156_403,-90,43,43,16.0,24.705442310514144,-78.46777229309082,-78.46777229309082,0.10149383544921875,0.16414594650268555,43,43,43,-16.0,YOLO,1,24.705442310514144,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195156_670,-90,43,43,16.0,24.741544651451434,-78.5423355102539,-78.5423355102539,0.10154032707214355,0.10677862167358398,43,43,43,-16.0,YOLO,1,24.741544651451434,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_195156_880,-90,43,43,16.0,22.83341984550114,-80.34144554138184,-80.34144554138184,0.10050821304321289,0.1644761562347412,43,43,43,-16.0,YOLO,1,22.83341984550114,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
