Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_024620_725,-18,46,46,20.3,14.341245634493134,-80.27214431762695,-80.27214431762695,0.1044604778289794,0.2609591484069824,46,46.0,OffsetFailed,2,44,17.4,21.92188862639388,-2.0,[],0.1041395664215087,0.05047607421875,0.0504651069641113,0.0567255020141601,0.0006711483001708
20250724_024621_092,-18,46,46,20.3,9.989636925435748,-81.49110870361328,-81.49110870361328,0.1038057804107666,0.2621629238128662,46,46.0,OffsetFailed,2,44,17.4,20.92444515786724,-2.0,[],0.1034126281738281,0.0505180358886718,0.050502061843872,0.0569477081298828,0.0006685256958007
20250724_024622_559,-17,44,44,17.4,18.220568154124777,-81.13837432861328,-81.13837432861328,0.1027014255523681,0.2610921859741211,44,44.0,OffsetFailed,2,43,16.0,21.293200903816683,-1.0,[],0.1023259162902832,0.0504453182220459,0.0505058765411376,0.0567693710327148,0.0006890296936035
20250724_024621_826,-17,45,45,18.9,13.797253607431344,-80.31556434631348,-80.31556434631348,0.104032278060913,0.2608950138092041,45,45.0,OffsetFailed,2,43,16.0,22.13119056331693,-2.0,[],0.1037003993988037,0.0504491329193115,0.0504531860351562,0.0567681789398193,0.0006694793701171
20250724_024622_924,-16,44,44,17.4,15.430820044298857,-79.47653884887696,-79.47653884887696,0.0978028774261474,0.2610039710998535,44,44.0,OffsetFailed,2,42,14.5,23.08073290091864,-2.0,[],0.0974583625793457,0.0504720211029052,0.0505239963531494,0.0567705631256103,0.0007157325744628
20250724_024623_285,-16,45,45,18.9,11.136940228422873,-83.575146484375,-83.575146484375,0.0998055934906005,0.2612168788909912,45,45.0,OffsetFailed,2,43,16.0,18.261721349941595,-2.0,[],0.0995025634765625,0.0505108833312988,0.0504884719848632,0.0567460060119628,0.0007765293121337
20250724_024623_647,-15,44,44,17.4,15.62422214631809,-79.40570983886718,-79.40570983886718,0.1026630401611328,0.2614088058471679,44,44.0,OffsetFailed,2,42,14.5,23.21796170318112,-2.0,[],0.1023361682891845,0.0504941940307617,0.050523042678833,0.0567889213562011,0.0007169246673583
20250724_024624_013,-15,44,44,17.4,12.996520785645345,-82.07573890686035,-82.07573890686035,0.1031227111816406,0.261101484298706,44,44.0,OffsetFailed,2,42,14.5,19.57816827890865,-2.0,[],0.1027441024780273,0.0505619049072265,0.0504579544067382,0.0567741394042968,0.0007002353668212
20250724_024624_745,-14,43,43,16.0,17.019589823595155,-80.80227661132812,-80.80227661132812,0.0899620056152343,0.2610173225402832,43,43.0,OffsetFailed,2,41,13.1,21.140941203039773,-2.0,[],0.0896213054656982,0.0504581928253173,0.0504610538482666,0.0567519664764404,0.0006725788116455
20250724_024625_097,-14,43,43,16.0,15.182938651422958,-81.5199966430664,-81.5199966430664,0.1008048057556152,0.2611126899719238,43,43.0,OffsetFailed,2,41,13.1,21.001743270257577,-2.0,[],0.1004657745361328,0.0504693984985351,0.05049729347229,0.0568268299102783,0.0006742477416992
