Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250723_235104_685,-62,63,63,45.0,11.135665557204504,-91.0214973449707,-91.0214973449707,0.10337495803833008,0.2690448760986328,63,63,OffsetFailed,2,63,45.0,11.378521560777386,2,[],0.10306215286254883,0.05045914649963379,0.050467729568481445,0.0003972053527832031,0.0006203651428222656
20250723_235105_059,-62,63,63,45.0,11.378080072329723,-91.17960357666016,-91.17960357666016,0.12494754791259766,0.2693910598754883,63,63,OffsetFailed,2,63,45.0,11.333351944959873,2,[],0.12462687492370605,0.05044412612915039,0.05048656463623047,0.00040435791015625,0.0006959438323974609
20250723_235105_455,-62,63,63,45.0,11.383905032802346,-91.17960357666016,-91.17960357666016,0.10520696640014648,0.2690861225128174,63,63,OffsetFailed,2,63,45.0,11.130887416175057,2,[],0.10490727424621582,0.05046272277832031,0.0504610538482666,0.00040078163146972656,0.0006709098815917969
20250723_235105_831,-61,63,63,45.0,11.39828109067399,-89.81483459472656,-89.81483459472656,0.09901285171508789,0.2693755626678467,63,63,OffsetFailed,2,63,45.0,12.770821362441282,2,[],0.09870576858520508,0.05044436454772949,0.05044817924499512,0.00039887428283691406,0.0006406307220458984
20250723_235106_201,-61,63,63,45.0,12.541945243801976,-89.47698974609375,-89.47698974609375,0.10228633880615234,0.268054723739624,63,63,OffsetFailed,2,63,45.0,12.93152495702111,2,[],0.10196042060852051,0.05050921440124512,0.05050086975097656,0.00040030479431152344,0.0006449222564697266
20250723_235106_573,-61,NO_RADIO,63,45.0,12.86527314461199,-89.59184188842774,-89.59184188842774,0.10071063041687012,0.10201644897460938,63,,CenterFallback,1,32,0,,,[],0.10037899017333984,0.05045890808105469,0.05047035217285156,0.00040435791015625,0.0006449222564697266
20250723_235106_778,-61,NO_RADIO,63,45.0,12.859971199236469,-89.51144638061524,-89.51144638061524,0.10050272941589355,0.15851783752441406,63,,CenterFallback,1,32,0,,,[],0.10015726089477539,0.05047464370727539,0.05052542686462402,0.05678963661193848,0.0006749629974365234
20250723_235107_038,-61,NO_RADIO,63,45.0,12.952100786756048,-89.63325500488281,-89.63325500488281,0.10117840766906738,0.10209035873413086,63,,CenterFallback,1,32,0,,,[],0.10082578659057617,0.05045914649963379,0.05049896240234375,0.0003998279571533203,0.000698089599609375
20250723_235107_243,-61,NO_RADIO,63,45.0,12.853258505802657,-89.63325500488281,-89.63325500488281,0.09926056861877441,0.15842843055725098,63,,CenterFallback,1,32,0,,,[],0.09886741638183594,0.05045127868652344,0.050484657287597656,0.05674099922180176,0.0006997585296630859
20250723_235107_503,-61,NO_RADIO,63,45.0,12.812368364296233,-89.76534919738769,-89.76534919738769,0.10303616523742676,0.1020200252532959,63,,CenterFallback,1,32,0,,,[],0.10272216796875,0.050463199615478516,0.050447940826416016,0.00039124488830566406,0.0006797313690185547
20250723_235107_709,-61,NO_RADIO,63,45.0,12.78773146886931,-89.81483459472656,-89.81483459472656,0.10154151916503906,0.1584639549255371,63,,CenterFallback,1,32,0,,,[],0.10121273994445801,0.050473690032958984,0.050473690032958984,0.05673718452453613,0.0007274150848388672
20250723_235107_971,-61,NO_RADIO,63,45.0,12.743013859559937,-89.77549476623535,-89.77549476623535,0.1003732681274414,0.10202741622924805,63,,CenterFallback,1,32,0,,,[],0.10005903244018555,0.05048799514770508,0.050470829010009766,0.0003910064697265625,0.0006306171417236328
20250723_235108_175,-61,NO_RADIO,63,45.0,12.846118074061792,-89.61365547180176,-89.61365547180176,0.10155940055847168,0.15843653678894043,63,,CenterFallback,1,32,0,,,[],0.10123205184936523,0.05044126510620117,0.05046534538269043,0.05681037902832031,0.0006701946258544922
20250723_235108_436,-61,NO_RADIO,63,45.0,12.985601639007683,-89.4396858215332,-89.4396858215332,0.10196232795715332,0.10195755958557129,63,,CenterFallback,1,32,0,,,[],0.1016380786895752,0.05039548873901367,0.05042123794555664,0.0003833770751953125,0.0007162094116210938
20250723_235108_642,-61,NO_RADIO,63,45.0,12.532473450914779,-89.93356323242188,-89.93356323242188,0.1011650562286377,0.15838336944580078,63,,CenterFallback,1,32,0,,,[],0.10086464881896973,0.050488948822021484,0.050438642501831055,0.056740760803222656,0.0006601810455322266
20250723_235108_903,-61,NO_RADIO,63,45.0,12.640509256303687,-89.76631164550781,-89.76631164550781,0.1022639274597168,0.10207176208496094,63,,CenterFallback,1,32,0,,,[],0.10191893577575684,0.05047106742858887,0.05049395561218262,0.000392913818359375,0.0006780624389648438
20250723_235109_109,-61,NO_RADIO,63,45.0,12.503757165768008,-90.0247802734375,-90.0247802734375,0.09790444374084473,0.15853166580200195,63,,CenterFallback,1,32,0,,,[],0.09755325317382812,0.05045580863952637,0.050495147705078125,0.056763410568237305,0.0007495880126953125
20250723_235109_368,-61,NO_RADIO,63,45.0,12.487806935287736,-90.10751342773438,-90.10751342773438,0.10198473930358887,0.10201764106750488,63,,CenterFallback,1,32,0,,,[],0.10165977478027344,0.050478219985961914,0.0504603385925293,0.0003924369812011719,0.0006518363952636719
20250723_235109_573,-61,NO_RADIO,63,45.0,12.524385075508249,-89.93356323242188,-89.93356323242188,0.10105633735656738,0.15847039222717285,63,,CenterFallback,1,32,0,,,[],0.10073447227478027,0.050444602966308594,0.05044674873352051,0.05681419372558594,0.0007052421569824219
